lexical_density,nominalization_density,clausal_complexity,mean_length_of_clause,passive_voice_ratio,label,level,filename
0.4742,0.5155,1.4615,6.0625,0.0385,0,Elementary,WNL Bangladeshi organization-ele.txt
0.4481,3.5608,2.0,6.6078,0.0588,0,Elementary,WNL Barack Obama-ele.txt
0.4576,2.5424,1.4444,7.1515,0.0,0,Elementary,WNL Basic phone logs-ele.txt
0.4649,2.7439,1.0263,8.5195,0.1316,0,Elementary,WNL Billionaires-ele.txt
0.4319,1.0084,1.1667,6.5385,0.0952,0,Elementary,WNL Black Friday-ele.txt
0.5116,2.8958,1.8519,6.7273,0.037,0,Elementary,WNL Bogus Allergy-ele.txt
0.4646,3.1674,1.0238,7.8,0.0238,0,Elementary,WNL Bright Future-ele.txt
0.489,2.0305,1.4688,7.481,0.0312,0,Elementary,WNL Brown bears-ele.txt
0.4561,1.3158,1.3261,6.3925,0.0652,0,Elementary,WNL Calais Migrants-ele.txt
0.51,1.4572,1.0541,7.2237,0.0541,0,Elementary,WNL Can the US-ele.txt
0.4301,1.8382,0.878,7.0649,0.0732,0,Elementary,WNL Canadian Pair-ele.txt
0.4451,1.632,1.359,7.3261,0.1026,0,Elementary,WNL Castaway-ele.txt
0.4233,2.7907,0.8333,7.8182,0.0667,0,Elementary,WNL Changing India-ele.txt
0.4384,1.4614,1.3,6.942,0.1333,0,Elementary,WNL Coloring Books-ele.txt
0.4635,1.0076,0.96,8.102,0.2,0,Elementary,WNL Criminal Links-ele.txt
0.4725,2.8381,1.0,8.8088,0.1471,0,Elementary,WNL Cuba-ele.txt
0.3651,1.9084,0.7234,9.7037,0.1489,0,Elementary,WNL David Bowie-ele.txt
0.411,1.4235,1.3636,7.2051,0.1212,0,Elementary,WNL David Mitchell-ele.txt
0.4757,2.973,0.913,8.4091,0.0435,0,Elementary,WNL Drowning in rubbish-ele.txt
0.5244,3.4843,1.0323,9.1111,0.0323,0,Elementary,WNL EU Pollution-ele.txt
0.4295,1.7054,0.98,6.5152,0.04,0,Elementary,WNL Experience-ele.txt
0.5237,3.0361,1.4138,7.5286,0.0,0,Elementary,WNL Extinction-ele.txt
0.4428,1.634,1.3571,6.1818,0.0476,0,Elementary,WNL Extreme heat-ele.txt
0.3876,3.5398,1.2143,9.1129,0.3214,0,Elementary,WNL FIFA-ele.txt
0.475,1.8209,2.0,6.8646,0.0,0,Elementary,WNL Fifth of young adults-ele.txt
0.4206,2.507,1.087,7.4792,0.0652,0,Elementary,WNL First female coach-ele.txt
0.4642,2.9014,1.0333,8.4754,0.1333,0,Elementary,WNL First high resolution images-ele.txt
0.5156,2.3385,1.3279,6.3239,0.0492,0,Elementary,WNL Five jobs-ele.txt
0.4117,3.4608,1.0968,8.4462,0.1613,0,Elementary,WNL Four new elements-ele.txt
0.5341,4.2614,1.2857,7.3333,0.1905,0,Elementary,WNL Glastonbury-ele.txt
0.5075,1.6639,0.9,10.5439,0.0,0,Elementary,WNL Goodbye fish and chips-ele.txt
0.4926,2.4712,1.8182,6.5269,0.0909,0,Elementary,WNL Google boss-ele.txt
0.4715,1.2891,1.4333,7.4384,0.1,0,Elementary,WNL Google car-ele.txt
0.4,2.5,0.7838,8.4848,0.1081,0,Elementary,WNL How downtown Abbey-ele.txt
0.4706,3.2086,1.1724,8.9048,0.0345,0,Elementary,WNL I confused my numbers-ele.txt
0.4232,4.2662,1.0571,8.1389,0.0,0,Elementary,WNL Icebucket challenge-ele.txt
0.389,2.1142,1.32,8.1552,0.36,0,Elementary,WNL Icelandic names-ele.txt
0.4711,1.7105,0.7885,8.172,0.1346,0,Elementary,WNL In flight-ele.txt
0.495,2.1521,1.025,8.6049,0.0,0,Elementary,WNL India's rich-ele.txt
0.4206,1.8692,1.1562,7.7536,0.0625,0,Elementary,WNL Inky the octopus-ele.txt
0.4337,0.4819,1.1304,8.4694,0.1304,0,Elementary,WNL Inventions-ele.txt
0.5094,3.2864,0.9615,8.3529,0.0769,0,Elementary,WNL Japan-ele.txt
0.3511,3.7778,0.64,10.9756,0.12,0,Elementary,WNL JMW Turner-ele.txt
0.4344,1.5656,1.5417,8.377,0.0833,0,Elementary,WNL John Lewis-ele.txt
0.4525,2.8283,1.5517,6.6892,0.0345,0,Elementary,WNL Kate Bush-ele.txt
0.4946,3.0722,1.2308,7.4828,0.0769,0,Elementary,WNL Kiruna-ele.txt
0.4,1.1111,1.2143,8.7097,0.0714,0,Elementary,WNL Lego movie-ele.txt
0.5019,5.2326,1.4815,7.7015,0.0,0,Elementary,WNL Loneliness-ele.txt
0.5084,6.0038,1.7812,5.9888,0.0938,0,Elementary,WNL Love hormonw-ele.txt
0.4501,1.0152,0.7297,9.2344,0.027,0,Elementary,WNL Making a killing-ele.txt
0.4339,2.6101,2.0357,7.2118,0.25,0,Elementary,WNL Man falls-ele.txt
0.3936,3.4574,1.6364,6.4828,0.0909,0,Elementary,WNL Mars-ele.txt
0.4547,2.1875,1.525,6.3366,0.025,0,Elementary,WNL Men in black-ele.txt
0.5061,4.1565,0.9286,7.5741,0.0714,0,Elementary,WNL Mirrors-ele.txt
0.4515,1.8557,1.1481,8.3621,0.1481,0,Elementary,WNL Morocco-ele.txt
0.4618,3.5032,0.7059,10.8276,0.0,0,Elementary,WNL Music-ele.txt
0.4651,2.3774,1.3714,8.1084,0.0857,0,Elementary,WNL Mystery Shopper-ele.txt
0.4731,3.481,1.6316,6.32,0.0,0,Elementary,WNL NASA Astronaut-ele.txt
0.4991,2.2453,1.0286,8.1549,0.1714,0,Elementary,WNL Neuroscientists-ele.txt
0.4877,4.2553,1.7179,5.7642,0.0513,0,Elementary,WNL New Orleans-ele.txt
0.531,2.965,0.7241,7.42,0.1379,0,Elementary,WNL Nigerian low tech-ele.txt
0.4923,3.5011,1.52,7.254,0.08,0,Elementary,WNL Noise pollution -ele.txt
0.4513,2.7833,1.1176,6.9861,0.0,0,Elementary,WNL Novel way-ele.txt
0.5008,2.2971,0.8571,7.1758,0.0408,0,Elementary,WNL On the trail-ele.txt
0.5413,2.2847,1.303,7.4868,0.0303,0,Elementary,WNL Organic Food-ele.txt
0.4102,3.5593,0.7949,8.4286,0.0769,0,Elementary,WNL Pacific Islanders-ele.txt
0.4424,1.0169,1.3077,6.5556,0.0513,0,Elementary,WNL Pizza chain-ele.txt
0.5113,2.7068,1.9,7.6437,0.1,0,Elementary,WNL Planet-ele.txt
0.4946,2.7565,1.5312,8.0617,0.0625,0,Elementary,WNL Poverty-ele.txt
0.4485,0.6865,1.375,5.75,0.1562,0,Elementary,WNL Revolution-ele.txt
0.4627,2.5501,0.8056,8.4462,0.1111,0,Elementary,WNL Rwanda-ele.txt
0.4922,3.5477,1.75,5.8571,0.0,0,Elementary,WNL Satnav-ele.txt
0.3906,2.3529,1.4615,6.6406,0.1154,0,Elementary,WNL Scarlett-ele.txt
0.4906,4.4597,2.2174,7.8784,0.1739,0,Elementary,WNL School Sports-ele.txt
0.4855,2.2831,1.5278,7.2198,0.0556,0,Elementary,WNL School-ele.txt
0.477,2.2044,1.3077,8.3167,0.0385,0,Elementary,WNL Scientist-ele.txt
0.3944,2.6178,1.25,7.9583,0.0312,0,Elementary,WNL Scottish referendum-ele.txt
0.4356,2.7228,1.7619,6.9655,0.0,0,Elementary,WNL SeaWorld-ele.txt
0.3815,1.5198,0.9412,9.9697,0.2647,0,Elementary,WNL Shakespeare-ele.txt
0.4539,2.933,2.1667,7.5368,0.1,0,Elementary,WNL shark-ele.txt
0.5447,0.5155,1.5938,7.012,0.0312,0,Elementary,WNL Ships noise-ele.txt
0.4772,1.711,1.5625,6.4146,0.1875,0,Elementary,WNL Shocking-ele.txt
0.4685,2.8391,1.6216,6.5361,0.0,0,Elementary,WNL Shops-ele.txt
0.5277,4.1551,1.1463,8.2045,0.0244,0,Elementary,WNL six well paid jobs-ele.txt
0.531,3.0992,1.3077,8.0667,0.1923,0,Elementary,WNL Six year olds-ele.txt
0.4377,2.5445,1.0,7.2778,0.037,0,Elementary,WNL Spain Robin Hood-ele.txt
0.4731,1.6012,0.9111,7.9884,0.0222,0,Elementary,WNL Spain Wetlands-ele.txt
0.4,1.7241,0.9714,8.4058,0.0857,0,Elementary,WNL Star Wars-ele.txt
0.5492,5.8722,1.5769,8.6418,0.0385,0,Elementary,WNL Still no flying cars-ele.txt
0.4954,1.8265,1.4348,7.8214,0.1739,0,Elementary,WNL Swarthy caveman-ele.txt
0.3914,1.8767,1.6087,6.2167,0.1739,0,Elementary,WNL Switched Babies-ele.txt
0.5013,3.7594,0.8077,8.4894,0.0385,0,Elementary,WNL Ten ideas-ele.txt
0.4241,2.5316,1.1034,7.7705,0.0,0,Elementary,WNL The age of music-ele.txt
0.4969,2.1807,1.3243,7.4651,0.0811,0,Elementary,WNL The Greek island-ele.txt
0.4508,2.2541,0.4634,8.1333,0.0976,0,Elementary,WNL The last-ele.txt
0.4547,2.8523,1.3684,6.6222,0.0789,0,Elementary,WNL The lightweight-ele.txt
0.5135,2.1544,1.5882,6.3295,0.0,0,Elementary,WNL The millenials-ele.txt
0.5196,2.1352,1.6176,6.3146,0.0,0,Elementary,WNL Tributes-ele.txt
0.4159,2.0249,0.8421,9.1714,0.1316,0,Elementary,WNL Use of e-cig-ele.txt
0.4462,5.914,1.0909,8.087,0.0,0,Elementary,WNL Vienna-ele.txt
0.4732,2.6016,1.6471,6.8333,0.2353,0,Elementary,WNL Waiters-ele.txt
0.4551,1.6743,1.3333,7.8214,0.0278,0,Elementary,WNL Ways Facebook changed-ele.txt
0.4674,1.1401,1.3438,8.1867,0.0938,0,Elementary,WNL We must-ele.txt
0.4171,1.4778,1.2857,6.3438,0.0714,0,Elementary,WNL Wealth therapy-ele.txt
0.4328,3.4003,1.0227,7.2697,0.0455,0,Elementary,WNL What does Apple-ele.txt
0.4644,3.3981,0.775,8.7042,0.05,0,Elementary,WNL What is world's-ele.txt
0.4606,1.6598,1.0312,7.4154,0.0625,0,Elementary,WNL What's the secret-ele.txt
0.425,3.1746,1.697,6.3708,0.1515,0,Elementary,WNL Who can stop Trump-ele.txt
0.3777,2.305,1.0,7.8333,0.1667,0,Elementary,WNL Who invented-ele.txt
0.4525,1.711,1.7857,6.7436,0.0,0,Elementary,WNL Why are people so wrong-ele.txt
0.5537,1.8692,1.72,6.2941,0.0,0,Elementary,WNL Why we should -ele.txt
0.4806,2.0333,1.3125,7.3108,0.0312,0,Elementary,WNL Why you should start work at 10-ele.txt
0.4912,2.1201,1.8824,5.7755,0.0882,0,Elementary,WNL Will drones-ele.txt
0.4466,1.4563,1.1282,7.4458,0.0256,0,Elementary,WNL Winter-ele.txt
0.4572,2.4883,0.925,8.3506,0.075,0,Elementary,WNL World Cup-ele.txt
0.4523,0.939,1.25,7.8889,0.0556,0,Elementary,WNL Young Americans-ele.txt
0.4832,2.1008,1.3478,8.8148,0.1304,0,Elementary,Zero Hours-ele.txt
0.4695,4.0076,1.2857,10.9167,0.2857,1,Intermediate,Amazon-int.txt
0.4901,4.1758,1.8571,7.5833,0.3333,1,Intermediate,Amsterdam-int.txt
0.48,3.8571,1.3611,8.2353,0.0556,1,Intermediate,Anita-int.txt
0.4769,2.735,1.9545,9.0,0.1818,1,Intermediate,Arctic mapping-int.txt
0.4057,3.005,2.3333,8.5571,0.3333,1,Intermediate,Banksy-int.txt
0.4839,3.6145,1.8696,7.5455,0.1739,1,Intermediate,Billionaires-int.txt
0.4532,2.8777,0.92,8.6875,0.1,1,Intermediate,Blackberry-int.txt
0.4396,5.5313,1.5152,8.2771,0.2424,1,Intermediate,Bolivia-int.txt
0.5154,3.6538,1.3333,9.2857,0.1667,1,Intermediate,Bonus pay-int.txt
0.4922,2.6874,1.0811,9.1818,0.1622,1,Intermediate,Brazil-int.txt
0.4869,3.1046,2.6364,7.65,0.2273,1,Intermediate,Cigarettes-int.txt
0.5473,0.9091,1.25,8.7302,0.1786,1,Intermediate,climate change -int.txt
0.5046,6.2212,1.2353,11.4211,0.2941,1,Intermediate,Coal to challenge oil-int.txt
0.4602,3.1142,2.2174,7.8108,0.2609,1,Intermediate,Copyright-int.txt
0.4507,3.2887,1.8108,7.8942,0.1892,1,Intermediate,Crowdfunding-int.txt
0.4524,1.5601,1.8182,6.8925,0.1212,1,Intermediate,Denmark-int.txt
0.4662,4.0393,0.9423,9.0693,0.1538,1,Intermediate,Everest-int.txt
0.4844,3.1169,1.35,8.1915,0.025,1,Intermediate,Exercise-int.txt
0.4608,2.5597,1.0333,9.6066,0.0667,1,Intermediate,Facebook deserted by millions of users-int.txt
0.5259,2.3316,1.5946,8.0417,0.2973,1,Intermediate,False memory-int.txt
0.4166,4.2038,1.3077,8.7222,0.1282,1,Intermediate,Ferguson-int.txt
0.4682,1.6575,1.4545,6.7037,0.0682,1,Intermediate,Fitness-int.txt
0.5182,3.8182,1.6667,8.5938,0.2917,1,Intermediate,Food shortages-int.txt
0.4879,1.5738,1.1406,6.0292,0.2188,1,Intermediate,Gangs-int.txt
0.4754,5.082,1.1818,8.4722,0.1515,1,Intermediate,Gorillas and oil-int.txt
0.4746,2.8169,1.3846,7.6344,0.1026,1,Intermediate,Greeks and drugs-int.txt
0.4359,2.3448,1.7353,7.7957,0.2941,1,Intermediate,Hillsborough-int.txt
0.4892,2.7338,1.1818,9.6528,0.2121,1,Intermediate,Insects-int.txt
0.5237,3.2626,2.32,7.3855,0.16,1,Intermediate,Japan menu-int.txt
0.4116,2.0645,1.0,6.7982,0.1228,1,Intermediate,Japan-int.txt
0.4586,3.4063,0.9815,7.6822,0.0926,1,Intermediate,Kashmir-int.txt
0.4615,3.4483,1.1667,9.6667,0.2222,1,Intermediate,Kate and William-int.txt
0.453,3.4732,1.6562,8.1294,0.3125,1,Intermediate,Kenya-int.txt
0.4575,2.6699,1.3571,8.3232,0.1429,1,Intermediate,Liberia-int.txt
0.458,3.4351,1.3659,8.1031,0.1951,1,Intermediate,Lie detector-int.txt
0.4375,3.25,1.175,9.1954,0.15,1,Intermediate,Life expectancy-int.txt
0.4473,4.1221,1.8667,7.6163,0.2,1,Intermediate,Life on Mars-int.txt
0.4634,2.439,0.7143,11.1042,0.1786,1,Intermediate,Loterry-int.txt
0.406,3.2637,1.4615,7.9792,0.1282,1,Intermediate,Malala-int.txt
0.4741,2.8257,0.8286,9.9531,0.3143,1,Intermediate,Meteorite-int.txt
0.4533,4.0564,1.2963,9.1452,0.0741,1,Intermediate,Midlife crisis-int.txt
0.4924,2.8626,1.5769,7.8209,0.1923,1,Intermediate,Murderers beware-int.txt
0.4139,3.8251,1.0698,8.2247,0.2326,1,Intermediate,Nelson Mandela-int.txt
0.4856,2.1661,1.2667,8.1471,0.2333,1,Intermediate,Nepal-int.txt
0.4642,1.8226,0.9091,7.8381,0.0364,1,Intermediate,Norwegian sun-int.txt
0.4721,5.1471,2.0667,7.3913,0.2,1,Intermediate,NSA 2-int.txt
0.4389,5.9796,1.2857,9.825,0.2571,1,Intermediate,NSA scandal-int.txt
0.4189,2.9619,1.6286,7.7065,0.0571,1,Intermediate,Obama-int.txt
0.5095,5.5313,1.3448,10.1029,0.1379,1,Intermediate,Old age-int.txt
0.4458,3.87,2.0,7.4253,0.1724,1,Intermediate,Organs-int.txt
0.3966,2.9957,1.6316,7.01,0.1316,1,Intermediate,Pope-int.txt
0.4048,1.0417,1.6111,7.1489,0.25,1,Intermediate,Prince Harry-int.txt
0.4949,3.5036,1.8056,6.7822,0.1389,1,Intermediate,Rats-int.txt
0.4639,2.7883,1.3939,9.9873,0.2121,1,Intermediate,Richard III-int.txt
0.3796,3.1293,0.8889,10.8088,0.25,1,Intermediate,Royal Baby-int.txt
0.4632,2.4112,1.093,8.7556,0.093,1,Intermediate,Skydiver-int.txt
0.4616,2.7397,1.9655,8.4884,0.2759,1,Intermediate,Spain-int.txt
0.4503,4.3478,1.4375,8.2564,0.1562,1,Intermediate,Starbucks-int.txt
0.5096,4.7497,0.9362,8.5604,0.1489,1,Intermediate,Superbugs-int.txt
0.4493,4.9275,1.3784,7.8409,0.2432,1,Intermediate,Swedish prisons-int.txt
0.5208,4.8322,1.375,7.8421,0.15,1,Intermediate,Syria-int.txt
0.5284,2.5676,1.0541,9.7368,0.2432,1,Intermediate,Teff-int.txt
0.4525,3.1637,1.4688,9.2025,0.1562,1,Intermediate,Thatcher-int.txt
0.434,3.3557,1.1923,7.8421,0.1154,1,Intermediate,US shutdown-int.txt
0.4714,5.4286,1.3438,9.3333,0.1875,1,Intermediate,Violence-int.txt
0.388,2.9968,1.871,7.1236,0.2581,1,Intermediate,WNL 101 year old bottle message-int.txt
0.4797,3.0457,1.2041,7.2963,0.0612,1,Intermediate,WNL A good night sleep-int.txt
0.4721,3.0303,0.8,11.6111,0.1,1,Intermediate,WNL Apple-int.txt
0.4405,2.4624,1.0952,8.3068,0.0476,1,Intermediate,WNL Arctic Ramadan-int.txt
0.5267,5.3455,1.6944,7.9072,0.1667,1,Intermediate,WNL Are MOOCs the future-int.txt
0.4566,2.2222,1.375,6.5132,0.1562,1,Intermediate,WNL are you a bad boyfriend-int.txt
0.4717,4.5,2.7727,7.2289,0.4545,1,Intermediate,WNL Bangladesh factory owners-int.txt
0.4829,3.4188,1.7105,6.8155,0.0526,1,Intermediate,WNL Bangladeshi organization-int.txt
0.4547,4.3624,2.3571,6.3404,0.1786,1,Intermediate,WNL Barack Obama-int.txt
0.5017,3.2313,1.4516,7.7368,0.0645,1,Intermediate,WNL Basic phone logs-int.txt
0.4887,2.8894,1.45,8.1224,0.2,1,Intermediate,WNL Billionaires-int.txt
0.436,0.8929,0.898,7.2258,0.0612,1,Intermediate,WNL Black Friday-int.txt
0.5114,3.6419,1.7273,7.3222,0.1818,1,Intermediate,WNL Bogus Allergy-int.txt
0.4711,3.7685,1.0652,7.8211,0.1304,1,Intermediate,WNL Bright Future-int.txt
0.4856,3.7464,1.303,9.1316,0.0909,1,Intermediate,WNL Brown bears-int.txt
0.4598,1.6092,1.8837,7.0161,0.093,1,Intermediate,WNL Calais Migrants-int.txt
0.4904,2.0382,1.3182,7.6961,0.1136,1,Intermediate,WNL Can the US-int.txt
0.44,1.92,0.8571,8.0128,0.0714,1,Intermediate,WNL Canadian Pair-int.txt
0.4504,2.305,1.8214,7.1392,0.1429,1,Intermediate,WNL Castaway-int.txt
0.4479,3.3123,1.0882,8.9296,0.1765,1,Intermediate,WNL Changing India-int.txt
0.4272,1.3932,1.5135,6.9462,0.0811,1,Intermediate,WNL Coloring Books-int.txt
0.4736,2.72,1.303,8.2237,0.3939,1,Intermediate,WNL Criminal Links-int.txt
0.4689,3.7936,1.1515,9.2817,0.303,1,Intermediate,WNL Cuba-int.txt
0.3967,2.7424,0.9091,9.7238,0.1636,1,Intermediate,WNL David Bowie-int.txt
0.4091,2.1944,1.7,7.8765,0.3667,1,Intermediate,WNL David Mitchell-int.txt
0.4908,2.765,0.8077,9.234,0.0385,1,Intermediate,WNL Drowning in rubbish-int.txt
0.5191,4.4586,1.3846,10.129,0.2692,1,Intermediate,WNL EU Pollution-int.txt
0.4319,1.757,1.0217,7.3441,0.087,1,Intermediate,WNL Experience-int.txt
0.5109,4.0625,2.0,8.2051,0.0769,1,Intermediate,WNL Extinction-int.txt
0.4549,2.4226,1.4091,7.0094,0.1136,1,Intermediate,WNL Extreme heat-int.txt
0.4055,3.811,1.3571,9.9394,0.4643,1,Intermediate,WNL FIFA-int.txt
0.4614,2.2592,2.0,7.188,0.1026,1,Intermediate,WNL Fifth of young adults-int.txt
0.4242,2.8025,1.2609,7.5481,0.1522,1,Intermediate,WNL First female coach-int.txt
0.487,3.5461,1.2391,8.2136,0.1522,1,Intermediate,WNL First high resolution images-int.txt
0.5137,2.3766,1.7931,6.7531,0.1034,1,Intermediate,WNL Five jobs-int.txt
0.4202,2.9316,1.3667,8.6479,0.3,1,Intermediate,WNL Four new elements-int.txt
0.5265,4.4586,1.5417,7.7213,0.3333,1,Intermediate,WNL Glastonbury-int.txt
0.4907,2.9595,0.9167,13.9565,0.0833,1,Intermediate,WNL Goodbye fish and chips-int.txt
0.4994,3.2342,1.9459,7.0917,0.4054,1,Intermediate,WNL Google boss-int.txt
0.4733,2.8333,1.3929,8.9552,0.1429,1,Intermediate,WNL Google car-int.txt
0.4197,2.6761,0.9362,7.8022,0.1277,1,Intermediate,WNL How downtown Abbey-int.txt
0.4633,3.6741,1.2857,9.7812,0.1429,1,Intermediate,WNL I confused my numbers-int.txt
0.4309,3.4934,1.2895,7.8966,0.1053,1,Intermediate,WNL Icebucket challenge-int.txt
0.4113,2.5594,1.56,8.5469,0.28,1,Intermediate,WNL Icelandic names-int.txt
0.5,2.5522,1.1522,8.7071,0.3696,1,Intermediate,WNL In flight-int.txt
0.5078,2.5388,1.1622,8.8625,0.1081,1,Intermediate,WNL India's rich-int.txt
0.4167,2.305,1.1818,7.8333,0.1515,1,Intermediate,WNL Inky the octopus-int.txt
0.4323,1.7928,1.375,8.807,0.2083,1,Intermediate,WNL Inventions-int.txt
0.526,3.9792,1.1333,9.0312,0.1667,1,Intermediate,WNL Japan-int.txt
0.3822,4.2672,1.04,10.5686,0.28,1,Intermediate,WNL JMW Turner-int.txt
0.4405,2.1341,1.8077,8.9863,0.0769,1,Intermediate,WNL John Lewis-int.txt
0.4576,4.0377,1.8684,6.8165,0.0526,1,Intermediate,WNL Kate Bush-int.txt
0.5007,3.1989,1.5135,7.7312,0.1892,1,Intermediate,WNL Kiruna-int.txt
